Executed MPI Program,Number of MPI Processes,Execution Time (ms),Memory Usage (KB)
paxos.c,3,2328.37,1424
paxos.c,3,2343.92,1428
paxos.c,3,2328.28,1424
paxos.c,3,2332.26,1408
paxos.c,3,2327.86,1428
paxos.c,3,2328.40,1424
paxos.c,3,2329.57,1428
paxos.c,3,2331.11,1428
paxos.c,3,2334.96,1412
paxos.c,3,2325.89,1428
paxos.c,3,2323.84,1412
paxos.c,3,2341.11,1424
paxos.c,3,2331.96,1408
paxos.c,3,2324.22,1428
paxos.c,3,2333.42,1428
paxos.c,3,2340.87,1428
paxos.c,3,2328.10,1424
paxos.c,3,1325.82,1408
paxos.c,3,2329.38,1428
paxos.c,3,2330.57,1424
paxos.c,3,2345.13,1428
paxos.c,3,2325.72,1424
paxos.c,3,2328.41,1428
paxos.c,3,1327.97,1428
paxos.c,3,2353.53,1428
paxos.c,3,2344.23,1428
paxos.c,3,2329.43,1424
paxos.c,3,2350.34,1424
paxos.c,3,2328.27,1408
paxos.c,3,2333.57,1428
paxos.c,3,2324.99,1428
paxos.c,3,334.99,1428
paxos.c,3,2333.69,1424
paxos.c,3,1341.74,1424
paxos.c,3,2338.82,1424
paxos.c,3,2324.32,1428
paxos.c,3,2332.18,1428
paxos.c,3,2327.69,1424
paxos.c,3,1332.72,1428
paxos.c,3,2333.38,1404
paxos.c,3,1328.70,1428
paxos.c,3,1338.86,1424
paxos.c,3,1385.03,1420
paxos.c,3,2328.78,1424
paxos.c,3,358.10,1404
paxos.c,3,2348.17,1420
paxos.c,3,1349.63,1428
paxos.c,3,1336.29,1416
paxos.c,3,1340.10,1424
paxos.c,3,2336.61,1424
paxos.c,3,2351.33,1428
paxos.c,3,1334.39,1428
paxos.c,3,2336.01,1424
paxos.c,3,2331.66,1428
paxos.c,3,2336.92,1428
paxos.c,3,1329.82,1424
paxos.c,3,2351.57,1420
paxos.c,3,2329.84,1420
paxos.c,3,2324.45,1404
paxos.c,3,335.13,1412
paxos.c,3,1326.75,1428
paxos.c,3,2325.89,1428
paxos.c,3,2338.64,1428
paxos.c,3,2325.99,1416
paxos.c,3,2327.07,1404
paxos.c,3,2331.81,1428
paxos.c,3,1331.90,1416
paxos.c,3,1333.60,1428
paxos.c,3,2339.31,1424
paxos.c,3,2331.46,1424
paxos.c,3,1338.68,1424
paxos.c,3,1345.51,1424
paxos.c,3,340.48,1424
paxos.c,3,2339.99,1428
paxos.c,3,1342.34,1424
paxos.c,3,1330.78,1428
paxos.c,3,1346.03,1428
paxos.c,3,1332.08,1428
paxos.c,3,2324.28,1408
paxos.c,3,2327.08,1428
paxos.c,3,2328.48,1416
paxos.c,3,2343.76,1428
paxos.c,3,2333.28,1428
paxos.c,3,2330.08,1424
paxos.c,3,1328.40,1428
paxos.c,3,2327.85,1424
paxos.c,3,2328.11,1424
paxos.c,3,2335.37,1428
paxos.c,3,2341.67,1420
paxos.c,3,2330.55,1408
paxos.c,3,2326.34,1424
paxos.c,4,387.12,1428
paxos.c,4,354.50,1408
paxos.c,4,355.82,1424
paxos.c,4,358.21,1424
paxos.c,4,1374.46,1424
paxos.c,4,362.60,1428
paxos.c,4,1371.19,1420
paxos.c,4,359.67,1428
paxos.c,4,364.70,1424
paxos.c,4,367.70,1416
paxos.c,4,351.83,1428
paxos.c,4,355.38,1428
paxos.c,4,351.85,1424
paxos.c,4,362.99,1420
paxos.c,4,375.56,1428
paxos.c,4,1354.70,1416
paxos.c,4,359.51,1416
paxos.c,4,354.29,1424
paxos.c,4,353.72,1424
paxos.c,4,368.80,1428
paxos.c,4,368.48,1424
paxos.c,4,371.22,1420
paxos.c,4,365.60,1428
paxos.c,4,1381.57,1416
paxos.c,4,1357.56,1404
paxos.c,4,364.80,1428
paxos.c,4,405.36,1428
paxos.c,4,480.91,1428
paxos.c,4,364.87,1428
paxos.c,4,358.18,1428
paxos.c,4,1365.72,1424
paxos.c,4,350.53,1420
paxos.c,4,1383.20,1424
paxos.c,4,355.58,1424
paxos.c,4,362.61,1424
paxos.c,4,394.81,1428
paxos.c,4,366.48,1416
paxos.c,4,1382.90,1428
